Unnamed: 0,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions
8153.0,Switzerland,Renens,39.0,Good,1.0,,25.0,Good,1.0,Good,39.0,L0,87.301072,7.2503658,L0
8154.0,Brazil,Resplendor,47.0,Good,1.0,Good,1.0,Good,4.0,Good,47.0,L0,131.7625749,0.250793173,L0
8155.0,United States of America,Ridgecrest,35.0,Good,1.0,Good,35.0,Good,2.0,Good,24.0,L0,88.63997424,4.536125055,L0
8156.0,Nicaragua,Rio Blanco,31.0,Good,1.0,Good,31.0,Good,2.0,Good,31.0,L0,84.32098246,2.224804563,L0
8157.0,Germany,Ritterhude,31.0,Good,1.0,Good,31.0,Good,1.0,Good,31.0,L0,72.14038071,-0.228963577,L0
8158.0,United States of America,Robbinsdale,53.0,Moderate,1.0,Good,31.0,Good,4.0,Good,53.0,L1,141.8594763,3.211352551,L1
8159.0,Ethiopia,Robe,109.0,Unhealthy for Sensitive Groups,1.0,Good,15.0,Good,1.0,Good,109.0,L2,269.8805876,3.595738302,L2
8160.0,Belgium,Rochefort,32.0,Good,1.0,Good,24.0,Good,3.0,Good,32.0,L0,83.58291278,9.680395298,L0
8161.0,United States of America,Rosaryville,51.0,Moderate,1.0,Good,33.0,Good,5.0,Good,51.0,L1,141.2782603,11.40105928,L1
8162.0,Finland,Rovaniemi,29.0,Good,1.0,Good,29.0,Good,0.0,Good,15.0,L0,85.40759312,7.053575512,L0
8163.0,Italy,Rozzano,64.0,Moderate,1.0,Good,40.0,Good,3.0,Good,64.0,L1,164.7796993,10.15777957,L1
8164.0,United States of America,Saint Charles,81.0,Moderate,1.0,,31.0,Good,1.0,Good,81.0,L1,189.8186897,9.870737354,L1
8165.0,France,Saint Brice Sous Foret,30.0,Good,1.0,Good,28.0,Good,2.0,Good,30.0,L0,109.9281057,6.27307051,L0
8166.0,France,Saint Maximin La Sainte Baume,60.0,Moderate,1.0,Good,21.0,Good,5.0,Good,60.0,L1,172.4585897,11.07571468,L1
8167.0,Ghana,Salaga,55.0,Moderate,1.0,Good,9.0,Good,0.0,Good,55.0,L1,149.7267482,-0.942373155,L1
8168.0,South Africa,Saldanha,66.0,Moderate,1.0,Good,19.0,Good,1.0,Good,66.0,L1,162.4679622,0.377688994,L1
8169.0,Spain,Salt,35.0,Good,1.0,Good,24.0,Good,3.0,Good,35.0,L0,91.36407838,-0.304507634,L0
8170.0,Mexico,Saltillo,48.0,Good,1.0,,16.0,Good,2.0,Good,48.0,L0,119.5657957,2.293060417,L0
8171.0,Colombia,San Alberto,63.0,Moderate,1.0,Good,7.0,Good,3.0,Good,63.0,L1,175.1385594,9.02950179,L1
8172.0,Spain,San Bartolome,56.0,Moderate,1.0,Good,43.0,Good,0.0,Good,56.0,L1,147.6250289,-1.775517261,L1
8173.0,Italy,San Giovanni Lupatoto,60.0,Moderate,1.0,Good,40.0,Good,3.0,Good,60.0,L1,147.1583614,6.313995984,L1
8174.0,Cuba,San Jose De Las Lajas,56.0,Moderate,1.0,,24.0,Good,2.0,Good,56.0,L1,140.292449,0.864695408,L1
8175.0,Mexico,San Luis Potosi,31.0,Good,1.0,Good,24.0,Good,1.0,Good,31.0,L0,93.71188143,2.064679734,L0
8176.0,Costa Rica,San Rafael Abajo,94.0,Moderate,1.0,Good,4.0,Good,1.0,Good,94.0,L1,256.0009785,8.402078317,L1
8177.0,Guatemala,Sanarate,65.0,Moderate,1.0,Good,19.0,Good,3.0,Good,65.0,L1,182.7833156,14.0062407,L1
8178.0,United States of America,Sandalfoot Cove,47.0,Good,1.0,Good,16.0,Good,1.0,Good,47.0,L0,130.0703207,0.238264739,L0
8179.0,India,Sandila,50.0,Hazardous,1.0,Good,31.0,Moderate,2.0,Good,50.0,L5,130.39634565,3.399533033,L5
8180.0,Poland,Sandomierz,36.0,Good,1.0,Good,30.0,Good,1.0,Good,36.0,L0,62.58486175,-1.591126128,L0
8181.0,United States of America,Sandusky,43.0,Good,1.0,Good,37.0,Good,3.0,Good,43.0,L0,115.4716002,0.190261418,L0
8182.0,Cameroon,Sangmelima,61.0,Moderate,1.0,Good,20.0,Good,0.0,Good,61.0,L1,157.4817124,0.163292825,L1
8183.0,Thailand,Sansai,21.0,Good,1.0,Good,21.0,Good,0.0,Good,16.0,L0,58.89982096,3.22392544,L0
8184.0,Brazil,Santa Helena De Goias,20.0,Good,1.0,Good,10.0,Good,1.0,Good,20.0,L0,55.53897347,5.926543847,L0
8185.0,Brazil,Santa Maria Da Vitoria,25.0,Good,1.0,Good,10.0,Good,1.0,Good,25.0,L0,54.23737838,5.435246734,L0
8186.0,Brazil,Sao Felix Do Xingu,43.0,Good,1.0,Good,1.0,Good,0.0,Good,43.0,L0,118.0740856,0.031751445,L0
8187.0,Brazil,Sao Francisco De Paula,21.0,Good,1.0,Good,15.0,Good,1.0,Good,21.0,L0,63.82216314,6.339715393,L0
