Unnamed: 0,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,SO2
11118.0,,Makung,50.0,Unhealthy for Sensitive Groups,1.0,Good,31.0,Unhealthy for Sensitive Groups,0.0,Good,76.0,L1,2.422785966
11119.0,Mexico,Manuel Doblado,56.0,Moderate,1.0,Good,25.0,Good,3.0,Good,56.0,L1,-2.770267523
11120.0,Philippines,Maramag,36.0,Good,1.0,Good,22.0,Good,0.0,Good,36.0,L0,1.072475712
11121.0,Italy,Umbertide,87.0,Moderate,1.0,Good,37.0,Good,3.0,Good,87.0,L1,-0.572039435
11122.0,Mexico,Uriangato,45.0,Good,1.0,,25.0,Good,2.0,Good,45.0,L0,0.921628239
11123.0,,Urk,26.0,Good,1.0,Good,26.0,Good,5.0,Good,25.0,L0,0.830232407
11124.0,Brazil,Uruguaiana,18.0,Good,1.0,Good,31.0,Good,3.0,Good,18.0,L0,0.631526143
11125.0,United States of America,Uxbridge,43.0,Good,1.0,Good,28.0,Good,7.0,Good,43.0,L0,2.260214659
11126.0,Germany,Vaihingen,65.0,Moderate,1.0,Good,36.0,Good,2.0,Good,65.0,L1,3.47613334
11127.0,Czechia,Valasske Mezirici,70.0,Moderate,1.0,Good,40.0,Good,1.0,Good,70.0,L1,7.619298176
11128.0,United States of America,Valley Station,63.0,Moderate,1.0,Good,31.0,Good,1.0,Good,63.0,L1,4.37523684
11129.0,United States of America,Van Wert,64.0,Moderate,1.0,Good,31.0,Good,1.0,Good,64.0,L1,7.230104033
11130.0,Germany,Vaterstetten,68.0,Moderate,1.0,Good,39.0,Good,3.0,Good,68.0,L1,3.83765656
11131.0,Sri Lanka,Vavuniya,59.0,Moderate,1.0,Good,26.0,Good,0.0,Good,59.0,L1,4.702903852
11132.0,France,Velizy Villacoublay,70.0,Moderate,1.0,Good,27.0,Good,6.0,Good,70.0,L1,5.833376698
11133.0,Netherlands,Venray,50.0,Good,1.0,Good,22.0,Good,7.0,Good,50.0,L0,0.565891123
11134.0,Switzerland,Vernier,63.0,Moderate,1.0,Good,30.0,Good,2.0,Good,63.0,L1,-0.790998263
11135.0,Philippines,Vigan,31.0,Good,1.0,Good,31.0,Good,0.0,Good,20.0,L0,4.851147993
11136.0,India,Vijayawada,93.0,Moderate,1.0,Good,54.0,Moderate,1.0,Good,93.0,L1,11.96689245
11137.0,Russian Federation,Vikhorevka,39.0,Good,1.0,Good,37.0,Good,0.0,Good,39.0,L0,2.654376865
11138.0,Paraguay,Villa Hayes,50.0,Unhealthy,1.0,Good,0.0,Good,5.0,Good,50.0,L3,12.89568173
11139.0,Spain,Villablino,19.0,Good,1.0,Good,17.0,Good,3.0,Good,19.0,L0,0.719146624
11140.0,Colombia,Villavicencio,65.0,Moderate,1.0,Good,0.0,Good,5.0,Good,65.0,L1,2.793027445
11141.0,France,Villefontaine,53.0,Moderate,1.0,,28.0,Good,2.0,Good,53.0,L1,0.465097404
11142.0,France,Villefranche De Rouergue,57.0,Moderate,1.0,Good,30.0,Good,1.0,Good,57.0,L1,-3.417972908
11143.0,France,Villiers Sur Marne,71.0,Moderate,1.0,Good,28.0,Good,6.0,Good,71.0,L1,4.377958569
11144.0,Germany,Velten,56.0,Moderate,1.0,Good,36.0,Good,2.0,Good,56.0,L1,4.978885769
11145.0,United States of America,Waltham,46.0,Good,1.0,Good,31.0,Good,7.0,Good,46.0,L0,-1.609520786
11146.0,United Kingdom of Great Britain and Northern Ireland,Warwick,32.0,Good,1.0,Good,32.0,Good,3.0,Good,22.0,L0,-0.591698751
11147.0,United States of America,Waterloo,67.0,Moderate,1.0,Good,37.0,Good,4.0,Good,67.0,L1,-0.940309972
11148.0,United States of America,Wayland,47.0,Good,1.0,Good,30.0,Good,7.0,Good,47.0,L0,-3.133389835
11149.0,Kenya,Webuye,73.0,Moderate,1.0,Good,26.0,Good,1.0,Good,73.0,L1,0.822039482
11150.0,Italy,Dalmine,68.0,Moderate,1.0,Good,36.0,Good,2.0,Good,68.0,L1,2.810717856
11151.0,India,Daltenganj,50.0,Unhealthy,1.0,Good,31.0,Moderate,0.0,Good,50.0,L3,-1.11028903
11152.0,Thailand,Damnoen Saduak,42.0,Good,1.0,Good,21.0,Good,0.0,Good,42.0,L0,1.312287663
11153.0,Indonesia,Dampit,53.0,Moderate,1.0,Good,31.0,Good,0.0,Good,53.0,L1,0.282666038
11154.0,United States of America,Danville,58.0,Moderate,1.0,Good,35.0,Good,6.0,Good,58.0,L1,0.955089706
11155.0,United States of America,Dekalb,56.0,Moderate,1.0,Good,24.0,Good,1.0,Good,56.0,L1,5.686044082
11156.0,Central African Republic,Dekoa,77.0,Moderate,1.0,Good,14.0,Good,0.0,Good,77.0,L1,2.399371973
11157.0,Haiti,Desdunes,77.0,Moderate,1.0,Good,28.0,Good,2.0,Good,77.0,L1,3.24993067
11158.0,Ethiopia,Dese,50.0,Unhealthy for Sensitive Groups,1.0,Good,32.0,Good,0.0,Good,50.0,L2,10.29003405
11159.0,United States of America,Detroit,88.0,Moderate,1.0,Good,21.0,Good,1.0,Good,88.0,L1,0.999721831
11160.0,France,Deville Les Rouen,69.0,Moderate,1.0,Good,23.0,Good,4.0,Good,69.0,L1,13.42937274
11161.0,India,Dhana,50.0,Unhealthy,1.0,Good,54.0,Moderate,1.0,Good,50.0,L3,2.061044355
11162.0,India,Dharmabad,50.0,Unhealthy for Sensitive Groups,1.0,Good,40.0,Good,0.0,Good,50.0,L2,-1.880673164
11163.0,Germany,Dinslaken,55.0,Moderate,1.0,Good,17.0,Good,1.0,Good,55.0,L1,1.030258295
11164.0,Mexico,Coatlinchan,50.0,Very Unhealthy,1.0,Good,3.0,Good,1.0,Good,50.0,L4,9.543874533
11165.0,India,Colgong,78.0,Moderate,1.0,Good,48.0,Good,1.0,Good,78.0,L1,11.8725193
11166.0,,Colwyn Bay,30.0,Good,1.0,Good,30.0,Good,3.0,Good,28.0,L0,7.794124043
11167.0,Cuba,Consolacion Del Sur,67.0,Moderate,1.0,Good,31.0,Good,2.0,Good,67.0,L1,4.119534249
11168.0,Spain,Coslada,60.0,Moderate,1.0,Good,25.0,Good,4.0,Good,60.0,L1,10.09977991
11169.0,Romania,Craiova,55.0,Moderate,1.0,Good,43.0,Good,1.0,Good,55.0,L1,-5.605185239
11170.0,United States of America,Crystal,53.0,Moderate,1.0,Good,31.0,Good,6.0,Good,53.0,L1,5.04720765
11171.0,Colombia,Cucuta,49.0,Good,1.0,Good,10.0,Good,3.0,Good,49.0,L0,5.349698633
